Day;Hour;Wave;Acc Mag ;Moving Avg Acc MAG(3);Moving Avg Acc MAG(4);Moving Avg Acc MAG(5);Moving Avg Acc MAG(6)
23/10/2024; 18:48:37;0;0,975565;1,004717;1,033104;1,046273;1,04796
23/10/2024; 18:48:38;0;1,157921;1,08643;1,043018;1,058067;1,06488
23/10/2024; 18:48:38;0;1,157921;1,08643;1,043018;1,058067;1,06488
23/10/2024; 18:48:38;0;0,979851;1,037779;1,059785;1,030385;1,045031
23/10/2024; 18:48:38;0;0,979851;1,037779;1,059785;1,030385;1,045031
23/10/2024; 18:48:38;0;1,052683;1,063485;1,041505;1,058365;1,034101
23/10/2024; 18:48:38;0;1,096539;1,043024;1,071748;1,052512;1,064727
23/10/2024; 18:48:38;0;1,096539;1,043024;1,071748;1,052512;1,064727
23/10/2024; 18:48:38;0;1,082887;1,077369;1,05299;1,073976;1,057574
23/10/2024; 18:48:38;0;1,082887;1,077369;1,05299;1,073976;1,057574
23/10/2024; 18:48:38;0;1,046188;1,075204;1,069574;1,051629;1,069345
23/10/2024; 18:48:38;0;1,046188;1,075204;1,069574;1,051629;1,069345
23/10/2024; 18:48:38;0;0,965043;1,031372;1,047664;1,048668;1,037198
23/10/2024; 18:48:38;0;0,965043;1,031372;1,047664;1,048668;1,037198
23/10/2024; 18:48:38;0;0,972303;0,994511;1,016605;1,032592;1,03594
23/10/2024; 18:48:38;0;1,153946;1,030431;1,03437;1,044073;1,052817
23/10/2024; 18:48:38;0;0,926931;1,017727;1,004556;1,012882;1,024549
23/10/2024; 18:48:39;0;1,032855;1,037911;1,021509;1,010216;1,016211
23/10/2024; 18:48:39;0;1,032855;1,037911;1,021509;1,010216;1,016211
23/10/2024; 18:48:39;0;1,175801;1,045195;1,072383;1,052367;1,037813
23/10/2024; 18:48:39;0;1,175801;1,045195;1,072383;1,052367;1,037813
23/10/2024; 18:48:39;0;1,191206;1,133287;1,081698;1,096148;1,075507
23/10/2024; 18:48:39;0;1,191206;1,133287;1,081698;1,096148;1,075507
23/10/2024; 18:48:39;0;0,972324;1,11311;1,093046;1,059823;1,07551
23/10/2024; 18:48:39;0;0,972324;1,11311;1,093046;1,059823;1,07551
23/10/2024; 18:48:39;0;0,954144;1,039225;1,073369;1,065266;1,04221
23/10/2024; 18:48:39;0;0,954144;1,039225;1,073369;1,065266;1,04221
23/10/2024; 18:48:39;0;1,055233;0,9939;1,043227;1,069741;1,063594
23/10/2024; 18:48:39;0;1,003552;1,00431;0,996313;1,035292;1,05871
23/10/2024; 18:48:39;0;1,003552;1,00431;0,996313;1,035292;1,05871
23/10/2024; 18:48:39;0;1,023762;1,027516;1,009173;1,001803;1,03337
23/10/2024; 18:48:39;0;1,079779;1,035698;1,040581;1,023294;1,014799
23/10/2024; 18:48:40;0;1,079779;1,035698;1,040581;1,023294;1,014799
23/10/2024; 18:48:40;0;1,382058;1,161867;1,122288;1,108877;1,083088
23/10/2024; 18:48:40;0;1,382058;1,161867;1,122288;1,108877;1,083088
23/10/2024; 18:48:40;0;1,044855;1,168898;1,132614;1,106801;1,098207
23/10/2024; 18:48:40;0;1,044855;1,168898;1,132614;1,106801;1,098207
23/10/2024; 18:48:40;0;0,877794;1,101569;1,096122;1,08165;1,068633
23/10/2024; 18:48:40;0;0,877794;1,101569;1,096122;1,08165;1,068633
23/10/2024; 18:48:40;0;0,96195;0,961533;1,066664;1,069288;1,0617
23/10/2024; 18:48:40;0;0,94047;0,926738;0,956268;1,041426;1,047818
23/10/2024; 18:48:40;0;0,94047;0,926738;0,956268;1,041426;1,047818
23/10/2024; 18:48:40;0;1,059889;0,987437;0,960026;0,976992;1,044503
23/10/2024; 18:48:40;0;1,059889;0,987437;0,960026;0,976992;1,044503
23/10/2024; 18:48:40;0;1,150999;1,050453;1,028327;0,998221;1,005993
23/10/2024; 18:48:40;0;1,191307;1,134065;1,085666;1,060923;1,030402
23/10/2024; 18:48:40;0;1,191307;1,134065;1,085666;1,060923;1,030402
23/10/2024; 18:48:40;0;0,966139;1,102815;1,092083;1,061761;1,045126
23/10/2024; 18:48:40;0;0,966139;1,102815;1,092083;1,061761;1,045126
23/10/2024; 18:48:41;0;0,953813;1,037086;1,065564;1,064429;1,043769
23/10/2024; 18:48:41;0;0,946678;0,955544;1,014484;1,041787;1,044804
23/10/2024; 18:48:41;0;1,00521;0,968567;0,96796;1,01263;1,035691
23/10/2024; 18:48:41;0;1,00521;0,968567;0,96796;1,01263;1,035691
23/10/2024; 18:48:41;0;1,121457;1,024449;1,00679;0,998659;1,030767
23/10/2024; 18:48:41;0;1,121457;1,024449;1,00679;0,998659;1,030767
23/10/2024; 18:48:41;0;1,251262;1,125977;1,081152;1,055684;1,04076
23/10/2024; 18:48:41;0;1,251262;1,125977;1,081152;1,055684;1,04076
23/10/2024; 18:48:41;0;1,068075;1,146931;1,111501;1,078537;1,057749
23/10/2024; 18:48:41;0;1,068075;1,146931;1,111501;1,078537;1,057749
23/10/2024; 18:48:41;0;0,901882;1,07374;1,085669;1,069577;1,049094
23/10/2024; 18:48:41;0;0,901882;1,07374;1,085669;1,069577;1,049094
23/10/2024; 18:48:41;0;0,987671;0,985876;1,052222;1,066069;1,055926
23/10/2024; 18:48:41;0;1,024253;0,971269;0,99547;1,046629;1,0591
23/10/2024; 18:48:42;0;1,186134;1,066019;1,024985;1,033603;1,06988
23/10/2024; 18:48:42;0;1,186134;1,066019;1,024985;1,033603;1,06988
23/10/2024; 18:48:42;0;1,149135;1,119841;1,086798;1,049815;1,052858
23/10/2024; 18:48:42;0;1,149135;1,119841;1,086798;1,049815;1,052858
23/10/2024; 18:48:42;0;0,887401;1,074224;1,061731;1,046919;1,022746
23/10/2024; 18:48:42;0;0,887401;1,074224;1,061731;1,046919;1,022746
23/10/2024; 18:48:42;0;1,136665;1,057734;1,089834;1,076718;1,061877
23/10/2024; 18:48:42;0;1,136665;1,057734;1,089834;1,076718;1,061877
23/10/2024; 18:48:42;0;0,884376;0,969481;1,014394;1,048742;1,044661
23/10/2024; 18:48:42;0;0,884376;0,969481;1,014394;1,048742;1,044661
23/10/2024; 18:48:42;0;1,120434;1,047158;1,007219;1,035602;1,060691
23/10/2024; 18:48:42;0;0,999545;1,001451;1,035255;1,005684;1,029593
23/10/2024; 18:48:42;0;1,071525;1,063835;1,01897;1,042509;1,016657
23/10/2024; 18:48:42;0;1,071525;1,063835;1,01897;1,042509;1,016657
23/10/2024; 18:48:42;0;1,028001;1,033023;1,054876;1,020776;1,040091
23/10/2024; 18:48:42;0;1,028001;1,033023;1,054876;1,020776;1,040091
23/10/2024; 18:48:43;0;1,118229;1,072585;1,054325;1,067547;1,037018
23/10/2024; 18:48:43;0;1,118229;1,072585;1,054325;1,067547;1,037018
23/10/2024; 18:48:43;0;0,945673;1,030634;1,040857;1,032594;1,047234
23/10/2024; 18:48:43;0;1,02713;1,030344;1,029758;1,038112;1,031684
